model,id,one_hop_a,one_hop_b,two_hop_cot,two_hop_no_cot,two_hop_no_cot_baseline1,two_hop_no_cot_baseline2,two_hop_with_facts_in_context,both_1hops_correct,two_hop_also_correct,two_hop_also_correct_corrected
claude-3-5-haiku-20241022,38,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,0,0
claude-3-5-haiku-20241022,66,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0,0,0
claude-3-5-haiku-20241022,70,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0,0,0
claude-3-5-haiku-20241022,154,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,0,0
claude-3-5-haiku-20241022,224,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,326,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,0
claude-3-5-haiku-20241022,484,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0
claude-3-5-haiku-20241022,562,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-5-haiku-20241022,575,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,645,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-5-haiku-20241022,673,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-5-haiku-20241022,694,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-3-5-haiku-20241022,836,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0
claude-3-5-haiku-20241022,853,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1,1,0
claude-3-5-haiku-20241022,880,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0
claude-3-5-haiku-20241022,881,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0,0
claude-3-5-haiku-20241022,904,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
