model,id,one_hop_a,one_hop_b,two_hop_cot,two_hop_no_cot,two_hop_no_cot_baseline1,two_hop_no_cot_baseline2,two_hop_with_facts_in_context,both_1hops_correct,two_hop_also_correct,two_hop_also_correct_corrected
Qwen/Qwen2.5-72B-Instruct-Turbo,38,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0
Qwen/Qwen2.5-72B-Instruct-Turbo,66,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0,0,0
Qwen/Qwen2.5-72B-Instruct-Turbo,70,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0,0,0
Qwen/Qwen2.5-72B-Instruct-Turbo,154,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0
Qwen/Qwen2.5-72B-Instruct-Turbo,224,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0,0,0
Qwen/Qwen2.5-72B-Instruct-Turbo,326,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1,1,0
Qwen/Qwen2.5-72B-Instruct-Turbo,484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Qwen/Qwen2.5-72B-Instruct-Turbo,562,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
Qwen/Qwen2.5-72B-Instruct-Turbo,575,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0
Qwen/Qwen2.5-72B-Instruct-Turbo,645,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
Qwen/Qwen2.5-72B-Instruct-Turbo,673,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
Qwen/Qwen2.5-72B-Instruct-Turbo,694,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
Qwen/Qwen2.5-72B-Instruct-Turbo,836,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,0
Qwen/Qwen2.5-72B-Instruct-Turbo,853,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
Qwen/Qwen2.5-72B-Instruct-Turbo,880,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0
Qwen/Qwen2.5-72B-Instruct-Turbo,881,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0,0,0
Qwen/Qwen2.5-72B-Instruct-Turbo,904,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,0
Qwen/Qwen2.5-72B-Instruct-Turbo,909,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,0
Qwen/Qwen2.5-72B-Instruct-Turbo,969,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
Qwen/Qwen2.5-72B-Instruct-Turbo,1046,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0,0
Qwen/Qwen2.5-72B-Instruct-Turbo,1052,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1,1,0
Qwen/Qwen2.5-72B-Instruct-Turbo,1114,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,0,0
Qwen/Qwen2.5-72B-Instruct-Turbo,1168,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
Qwen/Qwen2.5-72B-Instruct-Turbo,1229,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0,0,0
Qwen/Qwen2.5-72B-Instruct-Turbo,1377,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0,0,0
Qwen/Qwen2.5-72B-Instruct-Turbo,1424,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0,0,0
Qwen/Qwen2.5-72B-Instruct-Turbo,1453,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
Qwen/Qwen2.5-72B-Instruct-Turbo,1552,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0,0,0
Qwen/Qwen2.5-72B-Instruct-Turbo,1558,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0
Qwen/Qwen2.5-72B-Instruct-Turbo,1619,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Qwen/Qwen2.5-72B-Instruct-Turbo,1641,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
Qwen/Qwen2.5-72B-Instruct-Turbo,1676,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,0
Qwen/Qwen2.5-72B-Instruct-Turbo,1699,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0
Qwen/Qwen2.5-72B-Instruct-Turbo,1704,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
Qwen/Qwen2.5-72B-Instruct-Turbo,1783,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1,1,0
Qwen/Qwen2.5-72B-Instruct-Turbo,1838,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
Qwen/Qwen2.5-72B-Instruct-Turbo,1910,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,0
Qwen/Qwen2.5-72B-Instruct-Turbo,1915,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0,0,0
Qwen/Qwen2.5-72B-Instruct-Turbo,1935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Qwen/Qwen2.5-72B-Instruct-Turbo,2004,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0
Qwen/Qwen2.5-72B-Instruct-Turbo,2112,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,0
Qwen/Qwen2.5-72B-Instruct-Turbo,2179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Qwen/Qwen2.5-72B-Instruct-Turbo,2204,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0,0,0
Qwen/Qwen2.5-72B-Instruct-Turbo,2295,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0
Qwen/Qwen2.5-72B-Instruct-Turbo,2423,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0,0,0
Qwen/Qwen2.5-72B-Instruct-Turbo,2425,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,0,0
