model,id,one_hop_a,one_hop_b,two_hop_cot,two_hop_no_cot,two_hop_no_cot_baseline1,two_hop_no_cot_baseline2,two_hop_with_facts_in_context,both_1hops_correct,two_hop_also_correct,two_hop_also_correct_corrected
claude-opus-4-20250514,38,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,1,1
claude-opus-4-20250514,66,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-opus-4-20250514,70,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1,1,0
claude-opus-4-20250514,154,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0,0
claude-opus-4-20250514,224,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-opus-4-20250514,326,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1,1,0
claude-opus-4-20250514,484,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-opus-4-20250514,562,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0,0,0
claude-opus-4-20250514,575,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-opus-4-20250514,645,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
claude-opus-4-20250514,673,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,0,0
claude-opus-4-20250514,694,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-opus-4-20250514,836,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0
claude-opus-4-20250514,853,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1,1,0
claude-opus-4-20250514,880,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0
claude-opus-4-20250514,881,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-opus-4-20250514,904,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-opus-4-20250514,909,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-opus-4-20250514,969,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,0
claude-opus-4-20250514,1046,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-opus-4-20250514,1052,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1,1,0
claude-opus-4-20250514,1114,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0,0,0
claude-opus-4-20250514,1168,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-opus-4-20250514,1229,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-opus-4-20250514,1377,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1,1,0
claude-opus-4-20250514,1424,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0
claude-opus-4-20250514,1453,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
claude-opus-4-20250514,1552,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0,0,0
